framenr,roinr,mx,my,count
1333,10,32,4,1
1333,8,29,58,0
1333,6,17,55,0
1333,4,12,47,2
1333,3,12,16,1
1333,5,15,39,2
1333,13,56,26,2
1333,12,37,3,0
1333,1,3,10,2
29,2,16,38,4
29,0,1,1,0
29,11,46,23,3
29,7,28,16,1
29,9,30,21,2
29,10,35,16,1
29,8,30,12,1
29,6,26,29,1
29,4,24,24,1
29,3,20,20,2
29,5,25,21,2
29,13,54,27,3
29,12,50,25,2
29,1,12,50,2
2381,2,7,15,1
2381,0,1,7,0
2381,7,26,22,1
2381,9,29,33,0
2381,10,32,29,0
2381,8,27,28,1
2381,6,26,15,1
2381,4,17,43,1
2381,3,13,34,0
2381,5,19,32,3
2381,1,3,23,0
1671,2,7,50,0
1671,0,1,22,0
1671,11,39,35,0
1671,7,28,17,1
1671,9,37,22,2
1671,10,39,29,0
1671,8,34,17,0
1671,6,27,22,0
1671,4,24,12,0
1671,3,13,52,2
1671,5,24,17,0
1671,13,53,31,0
1671,14,58,30,2
1671,12,49,25,3
1671,1,3,11,1
1131,2,1,5,1
1131,0,1,36,0
1131,11,26,12,0
1131,7,22,28,1
1131,9,27,18,1
1131,10,25,22,0
1131,8,23,18,0
1131,6,18,33,1
1131,4,7,16,0
1131,3,2,19,0
1131,5,13,16,1
1131,13,39,22,1
1131,14,52,25,1
1131,15,57,21,0
1131,12,36,22,1
1131,1,1,7,1
2126,2,5,47,0
2126,0,1,4,0
2126,11,40,1,0
2126,7,24,16,0
2126,9,34,5,0
2126,10,35,1,1
2126,8,25,21,1
2126,6,13,44,1
2126,4,9,44,0
2126,3,9,10,0
2126,5,12,51,1
2126,13,44,23,1
2126,14,46,30,0
2126,15,51,26,1
2126,12,40,4,0
2126,1,5,32,0
74,2,12,50,2
74,0,1,20,0
74,7,40,22,1
74,9,44,22,1
74,10,58,27,1
74,8,44,18,0
74,6,33,27,0
74,4,15,38,1
74,3,14,18,1
74,5,32,22,1
74,1,3,10,2
1662,2,13,56,1
1662,0,1,15,0
1662,16,44,22,2
1662,11,31,26,1
1662,7,28,18,1
1662,9,30,16,1
1662,10,31,20,0
1662,17,58,20,0
1662,8,29,21,1
1662,6,25,19,0
1662,4,19,34,3
1662,3,19,29,0
1662,5,25,15,0
1662,13,33,18,0
1662,14,35,17,0
1662,15,35,22,2
1662,12,33,13,0
1662,1,12,35,0
1265,2,12,36,0
1265,0,1,6,0
1265,11,33,1,1
1265,7,18,19,1
1265,9,20,47,0
1265,10,32,22,2
1265,8,18,35,1
1265,6,14,45,2
1265,4,13,19,0
1265,3,12,54,2
1265,5,14,22,0
1265,13,34,28,0
1265,14,39,3,0
1265,15,41,23,1
1265,12,34,9,0
1265,1,13,50,2
905,2,15,43,1
905,0,1,3,0
905,11,56,28,1
905,7,31,22,1
905,9,36,15,0
905,10,45,22,3
905,8,33,10,0
905,6,32,14,1
905,4,21,28,1
905,3,19,18,1
905,5,27,21,1
905,1,13,48,2
2376,2,19,20,1
2376,0,1,3,0
2376,7,45,23,2
2376,9,56,28,2
2376,8,48,29,0
2376,6,38,23,1
2376,4,27,18,2
2376,3,19,33,1
2376,5,32,24,0
2376,1,13,43,2
176,2,19,32,2
176,0,1,16,0
176,11,34,6,1
176,7,31,10,2
176,9,33,11,2
176,10,33,14,1
176,8,31,14,1
176,6,31,6,1
176,4,23,30,3
176,3,19,38,0
176,5,29,4,0
176,13,36,10,0
176,14,39,23,2
176,15,49,24,2
176,12,35,13,1
176,1,12,45,2
1469,18,32,24,1
1469,2,10,15,1
1469,0,1,35,0
1469,16,32,10,1
1469,11,28,8,0
1469,21,35,1,0
1469,7,24,23,1
1469,9,26,19,1
1469,25,39,23,1
1469,10,27,24,2
1469,26,40,19,0
1469,19,34,11,0
1469,17,32,21,1
1469,8,24,31,2
1469,22,35,9,1
1469,6,23,40,0
1469,24,38,16,0
1469,4,22,22,1
1469,3,18,36,1
1469,5,23,36,0
1469,20,34,31,0
1469,23,37,5,0
1469,13,31,3,0
1469,14,30,6,1
1469,27,42,22,1
1469,15,31,32,0
1469,12,28,28,2
1469,1,7,14,1
2308,7,35,4,2
2308,4,26,21,3
2308,2,19,33,1
2308,3,21,29,1
2308,0,1,14,0
2308,5,29,25,2
2308,8,42,23,2
2308,6,33,7,1
2308,1,14,46,2
892,7,32,13,0
892,4,15,41,1
892,2,14,45,2
892,3,15,33,0
892,0,1,13,0
892,5,20,31,1
892,8,46,23,2
892,6,26,21,1
892,1,12,16,1
285,2,12,58,1
285,0,1,4,0
285,11,57,30,5
285,7,30,25,1
285,9,35,26,0
285,10,56,27,3
285,8,34,21,1
285,6,26,33,0
285,4,17,33,1
285,3,16,38,3
285,5,21,31,1
285,12,58,24,3
285,1,9,38,0
1461,18,34,10,1
1461,2,5,14,1
1461,0,1,25,0
1461,16,32,16,1
1461,11,28,17,0
1461,21,36,6,0
1461,7,20,30,1
1461,9,26,23,1
1461,25,38,5,0
1461,10,28,14,0
1461,26,39,13,0
1461,29,54,26,2
1461,19,34,22,1
1461,17,34,2,0
1461,8,23,22,1
1461,22,36,16,0
1461,6,15,58,1
1461,24,37,18,0
1461,4,13,58,1
1461,3,12,50,2
1461,28,50,20,0
1461,5,14,56,0
1461,20,35,4,1
1461,23,37,9,0
1461,13,31,20,1
1461,14,32,4,1
1461,27,49,28,0
1461,15,32,13,1
1461,12,31,11,1
1461,1,2,14,1
1881,7,55,29,0
1881,4,30,24,1
1881,2,13,46,1
1881,3,13,53,1
1881,0,1,19,0
1881,5,33,9,1
1881,6,51,24,2
1881,1,4,9,1
1693,7,41,22,2
1693,4,22,26,1
1693,2,13,54,1
1693,3,17,36,2
1693,0,1,3,0
1693,5,25,22,1
1693,8,45,22,2
1693,6,25,36,0
1693,1,13,48,1
1481,18,57,23,0
1481,2,13,45,1
1481,0,1,1,0
1481,16,34,7,0
1481,11,31,14,3
1481,7,27,16,1
1481,9,29,17,2
1481,10,30,10,1
1481,19,57,29,2
1481,17,41,1,0
1481,8,27,28,2
1481,6,26,21,1
1481,4,16,53,0
1481,3,14,42,1
1481,5,21,21,0
1481,13,32,18,2
1481,14,33,9,0
1481,15,34,1,1
1481,12,31,24,0
1481,1,12,55,1
318,2,9,57,2
318,0,1,22,0
318,16,47,23,2
318,11,32,7,1
318,7,25,23,0
318,9,32,15,1
318,10,31,21,1
318,17,51,24,1
318,8,25,29,2
318,6,19,34,3
318,4,14,43,1
318,3,12,54,2
318,5,19,20,1
318,13,36,7,0
318,14,36,12,0
318,15,40,23,1
318,12,34,2,0
318,1,2,12,1
2420,4,34,22,3
2420,2,12,51,1
2420,3,31,34,0
2420,0,1,1,0
2420,5,41,31,0
2420,1,1,12,1
2351,2,14,44,1
2351,0,1,3,0
2351,11,26,27,2
2351,7,20,33,3
2351,9,24,26,1
2351,10,24,29,1
2351,8,23,22,1
2351,6,20,30,2
2351,4,17,19,1
2351,3,16,42,1
2351,5,18,37,1
2351,13,41,22,3
2351,12,36,17,0
2351,1,4,14,1
1124,2,6,10,0
1124,0,1,44,0
1124,7,41,23,2
1124,9,50,25,3
1124,8,46,26,0
1124,6,29,21,1
1124,4,13,58,2
1124,3,14,46,1
1124,5,18,34,2
1124,1,1,7,2
1337,18,29,17,0
1337,30,57,29,2
1337,2,1,33,0
1337,0,1,51,0
1337,16,25,22,1
1337,11,21,41,0
1337,21,29,30,0
1337,7,15,41,1
1337,9,17,23,0
1337,25,41,23,0
1337,10,18,34,0
1337,26,43,43,0
1337,29,54,31,1
1337,19,29,22,0
1337,17,29,1,0
1337,8,17,45,1
1337,22,36,16,0
1337,6,12,45,2
1337,24,38,31,0
1337,4,7,28,0
1337,3,1,15,0
1337,28,51,58,0
1337,5,9,42,0
1337,20,29,26,0
1337,23,36,22,1
1337,13,22,25,1
1337,14,22,38,0
1337,27,43,54,0
1337,15,24,29,0
1337,12,23,18,0
1337,1,1,9,3
2061,2,14,45,1
2061,0,1,4,0
2061,7,27,32,0
2061,9,38,22,2
2061,8,29,27,1
2061,6,22,35,1
2061,4,17,53,0
2061,3,13,58,2
2061,5,22,27,2
2061,1,12,52,1
873,7,32,3,1
873,4,25,29,2
873,2,15,42,1
873,3,19,34,1
873,0,1,6,0
873,5,29,15,2
873,8,56,26,2
873,6,32,21,3
873,1,13,57,1
1273,68,55,8,0
1273,2,1,41,0
1273,11,7,58,0
1273,39,34,25,0
1273,46,38,45,0
1273,25,22,19,0
1273,55,43,50,0
1273,42,36,35,0
1273,29,24,12,0
1273,58,45,30,0
1273,66,51,26,1
1273,59,46,27,0
1273,8,6,1,0
1273,74,58,7,0
1273,57,45,4,0
1273,20,17,1,0
1273,14,11,54,0
1273,31,27,29,0
1273,70,56,40,0
1273,33,28,37,0
1273,18,16,53,0
1273,52,41,13,0
1273,69,54,36,0
1273,26,23,25,1
1273,35,30,7,1
1273,17,15,25,0
1273,64,50,10,0
1273,65,50,35,0
1273,49,39,28,0
1273,44,37,22,0
1273,4,1,50,0
1273,37,31,28,0
1273,45,37,41,0
1273,13,12,47,0
1273,67,53,31,0
1273,30,25,16,0
1273,1,1,18,0
1273,47,38,12,0
1273,54,45,36,0
1273,32,27,40,0
1273,50,41,39,0
1273,77,58,11,0
1273,40,33,1,0
1273,7,4,38,0
1273,9,6,20,0
1273,43,38,16,0
1273,60,47,42,0
1273,34,29,1,0
1273,75,58,21,0
1273,3,1,57,0
1273,61,48,53,0
1273,38,37,7,0
1273,71,58,25,0
1273,36,31,16,0
1273,48,41,4,0
1273,76,58,37,0
1273,12,10,44,0
1273,0,3,9,0
1273,16,13,8,0
1273,62,49,23,2
1273,21,17,42,0
1273,10,6,44,0
1273,19,16,18,1
1273,51,41,1,0
1273,22,19,48,0
1273,6,3,32,0
1273,24,24,5,0
1273,73,58,50,0
1273,53,42,22,1
1273,72,58,30,0
1273,28,23,58,0
1273,5,2,18,0
1273,23,20,40,0
1273,63,49,1,0
1273,27,22,33,0
1273,56,44,16,0
1273,41,35,29,0
1273,15,13,1,0
2284,2,1,31,0
2284,11,12,51,1
2284,39,35,1,1
2284,46,39,3,0
2284,25,28,18,1
2284,55,47,15,0
2284,42,35,23,0
2284,29,30,6,0
2284,58,48,10,0
2284,59,50,2,0
2284,8,11,11,0
2284,57,47,52,0
2284,20,23,13,0
2284,14,15,30,0
2284,31,32,14,2
2284,33,32,16,2
2284,18,20,48,0
2284,52,44,58,0
2284,26,31,2,0
2284,35,32,28,0
2284,17,18,43,0
2284,64,58,32,0
2284,49,42,22,0
2284,44,36,14,0
2284,4,3,12,2
2284,37,34,45,0
2284,45,38,5,0
2284,13,14,36,1
2284,30,30,12,1
2284,1,1,16,0
2284,47,39,17,0
2284,54,45,29,0
2284,32,32,10,1
2284,50,43,2,0
2284,40,35,8,0
2284,7,11,8,0
2284,9,12,16,0
2284,43,36,3,0
2284,60,51,25,1
2284,34,32,20,0
2284,3,1,44,0
2284,61,53,41,0
2284,38,34,49,0
2284,36,33,7,0
2284,48,40,7,0
2284,12,13,54,1
2284,0,1,53,0
2284,16,18,37,1
2284,62,58,17,0
2284,21,24,29,0
2284,10,11,49,1
2284,19,21,35,0
2284,51,43,26,1
2284,22,26,50,0
2284,6,7,22,0
2284,24,28,13,1
2284,53,45,6,0
2284,28,29,20,0
2284,5,5,14,2
2284,23,27,38,0
2284,63,58,25,0
2284,27,29,15,2
2284,56,47,1,0
2284,41,35,18,0
2284,15,17,33,0
975,2,14,44,2
975,0,1,4,0
975,16,45,23,1
975,11,32,16,3
975,7,30,11,1
975,9,31,23,1
975,10,32,10,1
975,8,30,16,3
975,6,26,18,2
975,4,17,18,2
975,3,16,36,1
975,5,21,20,2
975,13,33,19,1
975,14,34,9,0
975,15,36,7,0
975,12,33,13,1
975,1,13,55,3
354,18,47,23,1
354,2,8,57,2
354,0,1,22,0
354,16,34,20,0
354,11,29,14,2
354,7,17,56,0
354,9,26,8,0
354,10,26,29,1
354,19,58,27,1
354,17,36,25,0
354,8,20,32,2
354,6,12,57,2
354,4,13,51,2
354,3,9,53,1
354,5,11,58,2
354,13,30,25,1
354,14,31,11,1
354,15,32,6,1
354,12,30,17,2
354,1,7,14,1
610,18,40,22,0
610,2,2,9,1
610,0,1,20,0
610,16,34,11,0
610,11,31,6,1
610,21,57,24,1
610,7,17,58,0
610,9,19,46,0
610,10,24,29,1
610,19,45,23,2
610,17,39,6,0
610,8,17,58,0
610,22,57,27,2
610,6,17,52,0
610,4,13,53,1
610,3,12,56,1
610,5,14,58,1
610,20,45,30,0
610,23,57,30,2
610,13,33,2,0
610,14,34,5,1
610,15,34,7,1
610,12,31,10,0
610,1,1,9,1
1845,18,58,32,1
1845,2,8,15,1
1845,0,1,2,0
1845,16,48,27,1
1845,11,27,20,2
1845,7,24,30,2
1845,9,26,17,0
1845,10,26,23,2
1845,17,54,26,2
1845,8,25,25,0
1845,6,24,20,2
1845,4,15,42,1
1845,3,13,56,1
1845,5,22,25,0
1845,13,34,25,2
1845,14,37,22,2
1845,15,48,23,1
1845,12,31,22,1
1845,1,4,14,0
1442,7,53,26,4
1442,4,27,28,2
1442,2,15,42,1
1442,3,20,34,2
1442,0,1,16,1
1442,5,32,22,1
1442,6,41,22,2
1442,1,12,58,1
2300,18,38,1,1
2300,2,15,39,2
2300,0,1,4,0
2300,16,37,6,1
2300,11,33,1,2
2300,21,40,4,0
2300,7,26,31,0
2300,9,30,8,0
2300,10,31,22,1
2300,19,38,22,2
2300,17,38,1,1
2300,8,30,2,0
2300,22,40,16,0
2300,6,24,27,0
2300,4,20,32,1
2300,3,17,35,2
2300,5,23,38,0
2300,20,39,14,0
2300,23,45,23,1
2300,13,34,5,1
2300,14,34,8,0
2300,15,35,1,2
2300,12,33,1,2
2300,1,13,41,1
563,18,34,24,0
563,2,10,50,1
563,0,1,15,0
563,16,32,17,2
563,11,29,16,3
563,21,53,26,1
563,7,20,34,1
563,9,26,15,0
563,10,29,12,2
563,19,35,12,2
563,17,33,8,0
563,8,23,25,1
563,6,20,30,0
563,4,18,18,1
563,3,13,48,1
563,5,18,21,1
563,20,45,22,2
563,13,30,8,0
563,14,31,11,2
563,15,32,13,2
563,12,29,21,2
563,1,9,47,0
1451,2,13,16,1
1451,0,1,10,1
1451,16,51,21,0
1451,11,32,15,1
1451,7,25,21,1
1451,9,27,28,1
1451,10,29,13,1
1451,17,58,32,1
1451,8,27,19,1
1451,6,18,40,1
1451,4,15,38,2
1451,3,13,46,2
1451,5,18,35,1
1451,13,34,11,0
1451,14,39,22,1
1451,15,51,25,1
1451,12,32,22,1
1451,1,10,17,1
1929,2,1,21,0
1929,11,4,29,0
1929,39,30,10,0
1929,46,43,1,0
1929,25,14,19,0
1929,55,57,57,0
1929,42,35,7,1
1929,29,18,56,0
1929,58,58,21,0
1929,8,3,53,0
1929,57,58,47,0
1929,20,10,20,0
1929,14,10,50,1
1929,31,20,21,0
1929,33,24,1,0
1929,18,9,58,1
1929,52,55,17,0
1929,26,16,36,1
1929,35,25,50,0
1929,17,10,44,0
1929,49,51,24,0
1929,44,39,11,0
1929,4,1,57,0
1929,37,28,6,0
1929,45,43,6,0
1929,13,6,22,0
1929,30,20,1,0
1929,1,1,5,1
1929,47,44,58,0
1929,54,56,22,0
1929,32,20,40,0
1929,50,53,13,0
1929,40,32,1,0
1929,7,2,35,0
1929,9,3,58,0
1929,43,37,1,0
1929,34,26,36,0
1929,3,1,12,2
1929,38,30,14,0
1929,36,28,21,0
1929,48,49,19,0
1929,12,4,45,0
1929,0,33,29,0
1929,16,10,38,0
1929,21,12,11,0
1929,10,5,15,1
1929,19,10,14,1
1929,51,53,32,0
1929,22,12,56,2
1929,6,1,16,0
1929,24,14,1,0
1929,53,55,42,0
1929,28,18,43,0
1929,5,4,9,2
1929,23,13,58,2
1929,27,17,50,0
1929,56,58,27,1
1929,41,31,45,0
1929,15,8,55,1
1082,2,13,46,2
1082,0,1,33,0
1082,11,57,26,2
1082,7,28,14,1
1082,9,31,17,1
1082,10,34,21,4
1082,8,31,11,1
1082,6,26,18,1
1082,4,24,24,2
1082,3,18,34,2
1082,5,24,28,0
1082,1,1,7,2
880,2,14,44,2
880,0,1,29,0
880,11,57,28,2
880,7,30,25,2
880,9,35,23,2
880,10,57,22,0
880,8,33,5,1
880,6,32,13,1
880,4,28,8,0
880,3,18,34,1
880,5,30,3,0
880,12,57,33,0
880,1,4,14,2
1194,7,40,23,2
1194,4,23,26,3
1194,2,17,38,2
1194,3,19,33,2
1194,0,1,1,0
1194,5,24,21,1
1194,6,31,22,2
1194,1,16,19,1
1791,2,1,40,0
1791,11,13,2,0
1791,39,40,14,0
1791,46,45,4,0
1791,25,28,25,1
1791,55,53,22,1
1791,42,40,6,0
1791,29,31,5,0
1791,58,57,9,0
1791,59,58,27,0
1791,8,10,27,0
1791,57,54,15,0
1791,20,21,9,0
1791,14,15,27,0
1791,31,32,13,1
1791,33,32,43,0
1791,18,17,53,0
1791,52,50,1,0
1791,26,26,46,0
1791,35,35,8,0
1791,17,16,46,0
1791,49,48,53,0
1791,44,42,49,0
1791,4,1,34,0
1791,37,35,50,0
1791,45,43,1,0
1791,13,15,18,1
1791,30,31,34,0
1791,1,1,14,0
1791,47,45,18,0
1791,54,52,12,0
1791,32,32,19,0
1791,50,49,2,0
1791,40,38,1,1
1791,7,6,51,0
1791,9,10,57,3
1791,43,42,38,0
1791,60,58,55,0
1791,34,33,1,0
1791,3,1,25,0
1791,38,36,22,1
1791,36,34,36,0
1791,48,45,30,0
1791,12,13,57,3
1791,0,7,9,0
1791,16,16,13,0
1791,21,21,25,0
1791,10,13,52,1
1791,19,18,58,0
1791,51,49,17,0
1791,22,24,15,0
1791,6,2,18,0
1791,24,25,35,0
1791,53,50,58,0
1791,28,29,22,1
1791,5,2,1,0
1791,23,23,58,0
1791,27,28,16,0
1791,56,53,28,1
1791,41,41,2,0
1791,15,15,58,1
2202,2,34,1,3
2202,0,1,11,0
2202,11,39,2,2
2202,7,36,12,0
2202,9,37,18,0
2202,10,41,1,0
2202,8,36,22,1
2202,6,36,6,0
2202,4,33,9,0
2202,3,34,3,1
2202,5,33,19,0
2202,13,45,45,0
2202,12,42,23,2
2202,1,29,9,0
2162,2,13,46,1
2162,0,1,19,0
2162,16,36,8,0
2162,11,32,24,1
2162,7,29,10,2
2162,9,32,16,0
2162,10,32,14,1
2162,17,40,23,2
2162,8,31,11,1
2162,6,28,21,1
2162,4,22,21,1
2162,3,17,38,2
2162,5,28,12,0
2162,13,33,12,1
2162,14,33,22,1
2162,15,34,6,1
2162,12,33,9,2
2162,1,10,15,1
2354,2,24,21,2
2354,0,1,2,0
2354,11,41,3,0
2354,7,34,6,3
2354,9,36,22,1
2354,10,40,7,0
2354,8,34,9,1
2354,6,34,2,3
2354,4,30,10,1
2354,3,29,7,1
2354,5,33,1,3
2354,13,56,29,1
2354,14,58,35,1
2354,12,43,23,1
2354,1,16,38,1
671,18,39,2,1
671,2,8,20,0
671,0,1,25,0
671,16,33,14,1
671,11,31,8,1
671,7,19,16,0
671,9,29,12,1
671,10,30,17,0
671,17,38,6,0
671,8,24,21,1
671,6,15,42,1
671,4,13,58,1
671,3,10,44,0
671,5,14,17,1
671,13,31,22,1
671,14,33,6,0
671,15,33,10,1
671,12,31,19,1
671,1,1,9,1
2172,68,58,54,0
2172,2,2,16,0
2172,11,17,52,0
2172,39,34,3,0
2172,46,37,12,0
2172,25,27,27,0
2172,55,41,23,1
2172,42,34,28,0
2172,29,30,6,0
2172,58,47,25,1
2172,66,58,7,0
2172,59,47,29,0
2172,8,16,48,0
2172,57,47,22,1
2172,20,24,14,0
2172,14,20,58,0
2172,31,30,22,1
2172,70,58,41,0
2172,33,31,8,1
2172,18,23,16,0
2172,52,40,43,0
2172,69,58,32,1
2172,26,29,4,0
2172,35,32,12,1
2172,17,23,7,0
2172,64,56,38,0
2172,65,58,31,1
2172,49,38,18,0
2172,44,37,3,0
2172,4,14,18,0
2172,37,34,5,0
2172,45,37,9,0
2172,13,19,46,0
2172,67,58,33,1
2172,30,30,16,1
2172,1,1,40,0
2172,47,37,58,0
2172,54,41,16,0
2172,32,30,26,1
2172,50,38,31,0
2172,40,34,7,0
2172,7,15,46,0
2172,9,17,41,1
2172,43,36,22,1
2172,60,52,25,1
2172,34,31,19,1
2172,3,5,47,0
2172,61,53,36,0
2172,38,33,10,1
2172,36,32,25,1
2172,48,38,15,0
2172,12,18,33,1
2172,0,2,30,0
2172,16,22,41,0
2172,62,56,22,0
2172,21,25,25,0
2172,10,17,45,1
2172,19,23,32,0
2172,51,40,1,1
2172,22,26,15,0
2172,6,15,42,1
2172,24,27,17,1
2172,53,41,4,0
2172,28,31,2,0
2172,5,14,33,0
2172,23,27,8,0
2172,63,56,33,1
2172,27,29,10,1
2172,56,45,26,1
2172,41,34,15,0
2172,15,22,25,0
721,18,35,20,1
721,2,7,52,0
721,0,1,2,0
721,16,33,13,1
721,11,22,26,0
721,21,37,10,0
721,7,15,39,2
721,9,18,17,0
721,25,51,30,0
721,10,20,30,1
721,26,52,24,1
721,19,35,24,1
721,17,35,1,1
721,8,17,35,1
721,22,38,19,1
721,6,13,47,1
721,24,43,23,1
721,4,11,14,1
721,3,11,8,0
721,5,12,54,3
721,20,37,6,1
721,23,39,24,0
721,13,30,1,0
721,14,32,6,2
721,27,56,28,1
721,15,31,3,0
721,12,27,11,0
721,1,5,16,0
930,2,13,46,1
930,0,1,2,0
930,7,49,30,0
930,9,54,26,3
930,10,58,31,3
930,8,52,20,0
930,6,43,22,2
930,4,31,1,0
930,3,21,33,1
930,5,35,7,1
930,1,11,51,1
117,18,58,34,1
117,2,11,19,0
117,0,1,1,0
117,16,56,31,0
117,11,50,26,1
117,7,23,16,0
117,9,44,23,2
117,10,45,17,0
117,19,58,36,1
117,17,58,27,1
117,8,31,23,1
117,6,19,25,0
117,4,16,38,1
117,3,13,35,0
117,5,18,19,3
117,20,58,33,1
117,13,53,25,2
117,14,55,27,1
117,15,56,25,1
117,12,51,29,0
117,1,6,14,1
1195,7,39,22,2
1195,4,24,21,1
1195,2,18,35,3
1195,3,22,28,1
1195,0,1,7,1
1195,5,29,27,1
1195,6,31,21,1
1195,1,14,18,2
1386,2,4,14,1
1386,0,1,47,0
1386,7,19,20,1
1386,9,56,29,1
1386,8,26,28,4
1386,6,17,38,2
1386,4,12,16,1
1386,3,12,54,3
1386,5,12,48,1
1386,1,2,10,1
1400,2,11,51,1
1400,0,1,36,0
1400,16,38,26,0
1400,11,28,20,2
1400,7,16,36,1
1400,9,25,21,2
1400,10,27,16,1
1400,17,46,24,1
1400,8,19,24,0
1400,6,15,51,1
1400,4,13,52,2
1400,3,13,49,1
1400,5,13,58,2
1400,13,32,29,0
1400,14,33,22,2
1400,15,37,21,1
1400,12,31,17,1
1400,1,1,8,2
284,18,58,31,1
284,2,7,37,0
284,0,1,3,0
284,16,55,27,2
284,11,19,27,0
284,7,12,57,1
284,9,15,14,1
284,10,16,38,1
284,19,58,41,0
284,17,58,13,0
284,8,16,45,0
284,6,12,52,0
284,4,10,38,0
284,3,9,44,0
284,5,12,16,1
284,13,46,41,0
284,14,48,24,2
284,15,49,28,1
284,12,34,22,1
284,1,4,40,0
1327,2,15,44,3
1327,0,1,6,0
1327,7,32,11,1
1327,9,34,17,1
1327,10,42,22,3
1327,8,32,21,1
1327,6,31,14,1
1327,4,17,37,2
1327,3,17,19,1
1327,5,22,21,1
1327,1,12,48,2
1588,2,13,58,2
1588,0,1,33,0
1588,11,58,31,1
1588,7,39,21,1
1588,9,56,21,0
1588,10,56,26,1
1588,8,54,29,1
1588,6,32,24,1
1588,4,19,34,3
1588,3,15,40,2
1588,5,23,24,1
1588,1,6,14,1
1144,18,32,15,0
1144,30,58,35,0
1144,2,7,14,1
1144,0,1,24,0
1144,16,30,21,1
1144,11,28,11,0
1144,21,34,1,0
1144,7,17,39,1
1144,9,27,7,0
1144,25,35,11,0
1144,10,28,5,0
1144,26,40,8,0
1144,29,54,28,2
1144,19,33,3,0
1144,17,32,10,2
1144,8,22,47,0
1144,22,34,15,0
1144,6,14,45,1
1144,24,35,5,2
1144,4,9,53,2
1144,3,7,52,0
1144,28,48,24,4
1144,5,13,51,2
1144,20,34,8,2
1144,23,34,25,1
1144,13,29,26,1
1144,14,30,1,0
1144,27,47,18,0
1144,15,30,8,2
1144,12,29,13,0
1144,1,4,12,1
1714,18,37,16,0
1714,2,7,48,0
1714,0,1,26,0
1714,16,33,31,0
1714,11,30,3,0
1714,21,37,7,0
1714,7,26,27,0
1714,9,27,18,0
1714,25,41,23,0
1714,10,28,11,0
1714,26,45,16,0
1714,29,53,25,1
1714,19,36,37,0
1714,17,35,2,1
1714,8,26,15,0
1714,22,37,21,0
1714,6,22,12,0
1714,24,43,1,0
1714,4,15,47,1
1714,3,9,20,0
1714,28,51,11,0
1714,5,17,49,0
1714,20,37,1,1
1714,23,39,14,0
1714,13,31,16,1
1714,14,32,1,0
1714,27,50,57,0
1714,15,32,23,1
1714,12,32,9,0
1714,1,1,58,0
474,18,52,25,2
474,2,3,14,1
474,0,1,5,0
474,16,44,27,1
474,11,16,39,1
474,21,58,33,1
474,7,9,56,1
474,9,13,57,1
474,10,14,43,0
474,19,57,22,0
474,17,46,24,1
474,8,10,38,0
474,22,58,40,0
474,6,8,28,0
474,4,5,58,0
474,3,5,57,0
474,5,7,47,0
474,20,58,29,3
474,23,58,35,0
474,13,22,53,0
474,14,27,43,0
474,15,44,17,0
474,12,21,58,0
474,1,1,35,0
1116,7,51,25,1
1116,4,25,21,1
1116,2,15,41,2
1116,3,22,27,1
1116,0,1,4,0
1116,5,29,26,1
1116,8,58,28,1
1116,6,36,22,4
1116,1,14,16,2
1374,18,29,19,1
1374,30,43,26,0
