Ground-truth,frame,xnano,ynano,znano,intensity 
  186,  2064, 175.633, 944.889, 344.513, 1545.702 
  187,  1114, 132.513, 921.375, 337.760, 1010.131 
  188,  1115, 132.513, 921.375, 337.760, 3049.315 
  189,  1123, 132.513, 921.375, 337.760, 284.139 
  190,  1124, 132.513, 921.375, 337.760, 4328.227 
  191,  1125, 132.513, 921.375, 337.760, 4328.227 
  192,  1126, 132.513, 921.375, 337.760, 4017.010 
  193,  1127, 132.513, 921.375, 337.760, 4328.227 
  194,  1128, 132.513, 921.375, 337.760, 4328.227 
  195,  1129, 132.513, 921.375, 337.760, 4328.227 
  196,  1130, 132.513, 921.375, 337.760, 4328.227 
  197,  1131, 132.513, 921.375, 337.760, 2876.789 
  198,   731, 158.456, 920.692, 329.781, 2941.416 
  199,   732, 158.456, 920.692, 329.781, 4816.910 
  200,   733, 158.456, 920.692, 329.781, 1930.190 
  201,  1811, 164.501, 939.112, 342.178, 2338.356 
  202,  1812, 164.501, 939.112, 342.178, 4065.980 
  203,  2052, 154.101, 918.335, 341.055, 1383.778 
  204,  2053, 154.101, 918.335, 341.055, 2805.051 
  205,  2054, 154.101, 918.335, 341.055, 1359.854 
  206,  1743, 145.052, 911.322, 342.946, 1331.141 
  207,  1747, 145.052, 911.322, 342.946, 2093.994 
  208,  1748, 145.052, 911.322, 342.946, 4440.037 
  209,  1749, 145.052, 911.322, 342.946, 4440.037 
  210,  1750, 145.052, 911.322, 342.946, 4440.037 
  211,  1751, 145.052, 911.322, 342.946, 2841.113 
  212,  1547, 136.451, 909.715, 347.871, 2710.642 
  213,  1548, 136.451, 909.715, 347.871, 1614.674 
  214,  1753, 157.077, 922.557, 326.644, 4479.614 
  215,  1754, 157.077, 922.557, 326.644, 4798.450 
  216,  1755, 157.077, 922.557, 326.644, 4798.450 
  217,  1756, 157.077, 922.557, 326.644, 3895.017 
  218,  1757, 157.077, 922.557, 326.644, 4798.450 
  219,  1758, 157.077, 922.557, 326.644, 4798.450 
  220,  1759, 157.077, 922.557, 326.644, 2146.594 
  221,  1074, 110.895, 903.812, 331.888, 2419.047 
  222,  1075, 110.895, 903.812, 331.888, 4517.590 
  223,  1076, 110.895, 903.812, 331.888, 1627.148 
  224,  1694, 158.176, 928.314, 345.589, 3750.743 
  225,  1695, 158.176, 928.314, 345.589, 4768.524 
  226,  1696, 158.176, 928.314, 345.589, 4768.524 
  227,  1697, 158.176, 928.314, 345.589, 2221.183 
  228,  2260, 187.731, 938.377, 331.503, 121.641 
  229,  2261, 187.731, 938.377, 331.503, 3654.420 
  230,  2264, 187.731, 938.377, 331.503, 806.034 
  231,  2265, 187.731, 938.377, 331.503, 1232.810 
  232,  2369, 125.318, 915.744, 339.463, 179.955 
  233,  2370, 125.318, 915.744, 339.463, 4514.041 
  234,  2371, 125.318, 915.744, 339.463, 1078.142 
  235,  1684, 165.626, 927.525, 331.442, 1324.948 
  236,  1685, 165.626, 927.525, 331.442, 2379.370 
  237,  1687, 165.626, 927.525, 331.442, 4491.055 
  238,  1688, 165.626, 927.525, 331.442, 3830.764 
  239,  1689, 165.626, 927.525, 331.442, 4793.681 
  240,  1690, 165.626, 927.525, 331.442, 3681.646 
  241,  1293, 122.105, 901.233, 349.897, 3660.387 
  242,  1294, 122.105, 901.233, 349.897, 4747.061 
  243,  1295, 122.105, 901.233, 349.897, 2604.814 
  244,  1953, 163.226, 926.734, 341.940, 961.947 
  245,  1954, 163.226, 926.734, 341.940, 3087.702 
  246,   227, 136.938, 905.629, 344.921, 2413.200 
  247,   228, 136.938, 905.629, 344.921, 4486.117 
  248,   230, 136.938, 905.629, 344.921, 1950.596 
  249,  1689, 111.636, 907.260, 342.317, 3922.882 
  250,  2041, 148.136, 927.842, 329.477, 2833.785 
  251,  2042, 148.136, 927.842, 329.477, 1857.848 
  252,  1410, 145.229, 910.143, 340.457, 3295.906 
  253,  1411, 145.229, 910.143, 340.457, 3130.517 
  254,  1658, 123.147, 913.406, 328.848, 3880.348 
  255,  1659, 123.147, 913.406, 328.848, 1872.601 
  256,   962, 177.372, 932.479, 335.407, 3876.138 
  257,   963, 177.372, 932.479, 335.407, 4442.580 
  258,   964, 177.372, 932.479, 335.407, 3373.618 
  259,   926, 171.340, 944.549, 345.865, 1152.878 
  260,   986, 159.976, 939.832, 341.257, 1379.662 
  261,   987, 159.976, 939.832, 341.257, 2758.626 
  262,   988, 159.976, 939.832, 341.257, 1533.458 
  263,   989, 159.976, 939.832, 341.257, 4654.710 
  264,   990, 159.976, 939.832, 341.257, 4654.710 
  265,   991, 159.976, 939.832, 341.257, 4654.710 
  266,   992, 159.976, 939.832, 341.257, 2027.604 
  267,   995, 159.976, 939.832, 341.257, 633.215 
  268,  1109, 184.505, 946.833, 325.508, 1894.451 
  269,  1110, 184.505, 946.833, 325.508, 4791.368 
  270,  1111, 184.505, 946.833, 325.508, 4791.368 
  271,  1112, 184.505, 946.833, 325.508, 1623.648 
  272,   614, 182.341, 942.181, 327.621, 4085.559 
  273,   615, 182.341, 942.181, 327.621, 3594.284 
  274,  2185, 127.777, 913.255, 331.994, 3808.484 
  275,  2186, 127.777, 913.255, 331.994, 4395.317 
  276,  2187, 127.777, 913.255, 331.994, 665.803 
  277,  1162, 111.955, 901.535, 346.069, 3512.934 
  278,  1163, 111.955, 901.535, 346.069, 4354.860 
  279,  1164, 111.955, 901.535, 346.069, 3527.352 
  280,  1171, 111.955, 901.535, 346.069, 118.916 
  281,  2135, 184.456, 955.883, 335.171, 1803.931 
  282,  2136, 184.456, 955.883, 335.171, 4500.187 
  283,  2137, 184.456, 955.883, 335.171, 4500.187 
  284,  2138, 184.456, 955.883, 335.171, 4500.187 
  285,  2139, 184.456, 955.883, 335.171, 4500.187 
  286,  2140, 184.456, 955.883, 335.171, 4500.187 
  287,  2141, 184.456, 955.883, 335.171, 3269.658 
  288,   337, 143.002, 918.409, 345.453, 3017.098 
  289,   338, 143.002, 918.409, 345.453, 2272.254 
  290,   246, 143.659, 917.198, 330.607, 889.055 
  291,   247, 143.659, 917.198, 330.607, 358.621 
  292,  1527, 135.020, 909.024, 332.113, 1180.681 
  293,  1528, 135.020, 909.024, 332.113, 1223.537 
  294,  1529, 135.020, 909.024, 332.113, 1833.105 
  295,  1610, 179.821, 935.909, 330.800, 181.404 
  296,  1785, 189.788, 938.409, 334.637, 3172.190 
  297,  1786, 189.788, 938.409, 334.637, 4897.486 
  298,  1787, 189.788, 938.409, 334.637, 847.661 
  299,  1337, 184.700, 939.385, 330.726, 2578.427 
  300,  1338, 184.700, 939.385, 330.726, 4728.535 
  301,  1339, 184.700, 939.385, 330.726, 274.167 
  302,  1340, 184.700, 939.385, 330.726, 672.625 
  303,  1434, 179.632, 938.131, 328.330, 1119.602 
  304,   321, 134.445, 920.626, 328.555, 2250.058 
  305,   322, 134.445, 920.626, 328.555, 2237.273 
  306,   799, 168.102, 923.546, 335.531, 650.949 
  307,   800, 168.102, 923.546, 335.531, 1567.135 
  308,  1451, 221.786, 964.156, 325.245, 551.642 
  309,  1452, 221.786, 964.156, 325.245, 835.664 
  310,   545, 222.398, 961.887, 332.693, 926.372 
  311,   546, 222.398, 961.887, 332.693, 4929.405 
  312,   547, 222.398, 961.887, 332.693, 4235.143 
  313,   548, 222.398, 961.887, 332.693, 3564.253 
  314,  1829, 241.614, 978.040, 334.891, 2637.741 
  315,  1109, 254.042, 985.539, 339.191, 4354.449 
  316,  1110, 254.042, 985.539, 339.191, 4793.037 
  317,  1111, 254.042, 985.539, 339.191, 4793.037 
  318,  1112, 254.042, 985.539, 339.191, 1439.047 
  319,  2345, 222.831, 982.675, 331.131, 787.478 
  320,  2375, 212.505, 953.089, 334.701, 651.235 
  321,  1283, 200.193, 966.206, 332.586, 3336.188 
  322,  1732, 265.328, 993.880, 339.016, 3609.508 
  323,  1734, 265.328, 993.880, 339.016, 977.013 
  324,   478, 206.332, 971.149, 340.606, 703.798 
  325,   479, 206.332, 971.149, 340.606, 5036.650 
  326,   480, 206.332, 971.149, 340.606, 345.665 
  327,  1067, 251.742, 987.093, 339.798, 4359.664 
  328,  1068, 251.742, 987.093, 339.798, 4728.169 
  329,  1069, 251.742, 987.093, 339.798, 1358.429 
  330,  1070, 251.742, 987.093, 339.798, 1946.246 
  331,  1082, 251.742, 987.093, 339.798, 1023.119 
  332,  1083, 251.742, 987.093, 339.798, 1459.116 
  333,  1508, 243.688, 988.470, 323.902, 745.684 
  334,  1511, 248.475, 983.851, 333.644, 1078.278 
  335,  1181, 202.086, 971.463, 335.404, 765.377 
  336,  1219, 255.697, 986.627, 333.801, 213.464 
  337,  1220, 255.697, 986.627, 333.801, 2664.579 
  338,  1077, 260.155, 991.696, 324.030, 905.426 
  339,  1078, 260.155, 991.696, 324.030, 4065.372 
  340,  1080, 260.155, 991.696, 324.030, 3703.137 
  341,  1081, 260.155, 991.696, 324.030, 4928.958 
  342,  1082, 260.155, 991.696, 324.030, 4928.958 
  343,  1083, 260.155, 991.696, 324.030, 445.566 
  344,  1091, 260.155, 991.696, 324.030, 1169.446 
  345,  1092, 260.155, 991.696, 324.030, 1223.815 
  346,  1093, 260.155, 991.696, 324.030, 1278.982 
  347,  2397, 241.703, 975.658, 328.989, 2185.969 
  348,  1230, 230.348, 972.289, 328.892, 3867.571 
  349,  1231, 230.348, 972.289, 328.892, 4234.959 
  350,  1233, 230.348, 972.289, 328.892, 1480.409 
  351,  1234, 230.348, 972.289, 328.892, 2137.382 
  352,   148, 246.307, 983.050, 328.328, 5009.932 
  353,   149, 246.307, 983.050, 328.328, 5009.932 
  354,   150, 246.307, 983.050, 328.328, 4730.082 
  355,   151, 246.307, 983.050, 328.328, 2027.382 
  356,   152, 246.307, 983.050, 328.328, 288.850 
  357,   130, 257.430, 990.624, 327.560, 613.070 
  358,   131, 257.430, 990.624, 327.560, 511.541 
  359,   133, 257.430, 990.624, 327.560, 4093.816 
  360,   134, 257.430, 990.624, 327.560, 5096.172 
  361,   135, 257.430, 990.624, 327.560, 952.341 
  362,   434, 230.667, 985.667, 326.720, 684.227 
  363,   435, 230.667, 985.667, 326.720, 5139.252 
  364,   436, 230.667, 985.667, 326.720, 4743.639 
  365,   439, 230.667, 985.667, 326.720, 1824.300 
  366,  1568, 241.954, 976.473, 340.699, 2698.792 
  367,  1569, 241.954, 976.473, 340.699, 554.045 
  368,  1572, 241.954, 976.473, 340.699, 2900.036 
  369,  1573, 241.954, 976.473, 340.699, 4363.790 
  370,   633, 202.421, 961.349, 345.199, 3368.313 
  371,   634, 202.421, 961.349, 345.199, 2545.312 
  372,  2038, 219.357, 960.420, 332.992, 1105.172 
  373,   476, 227.314, 970.909, 327.183, 1502.901 
  374,   477, 227.314, 970.909, 327.183, 5003.630 
  375,   478, 227.314, 970.909, 327.183, 1891.364 
  376,   480, 227.314, 970.909, 327.183, 1239.428 
  377,   481, 227.314, 970.909, 327.183, 3856.824 
  378,   483, 227.314, 970.909, 327.183, 1518.659 
  379,   484, 227.314, 970.909, 327.183, 5003.630 
  380,   485, 227.314, 970.909, 327.183, 5003.630 
  381,   486, 227.314, 970.909, 327.183, 4324.208 
  382,   487, 227.314, 970.909, 327.183, 3114.845 
  383,   489, 227.314, 970.909, 327.183, 1261.747 
  384,   490, 227.314, 970.909, 327.183, 5003.630 
  385,   491, 227.314, 970.909, 327.183, 2072.577 
  386,    46, 232.217, 968.441, 335.103, 726.870 
  387,    47, 232.217, 968.441, 335.103, 4940.730 
  388,    48, 232.217, 968.441, 335.103, 1656.298 
  389,   365, 233.350, 978.045, 342.622, 4456.811 
  390,   366, 233.350, 978.045, 342.622, 1826.711 
  391,  1400, 260.005, 997.179, 325.649, 579.964 
  392,  1401, 260.005, 997.179, 325.649, 3066.077 
  393,  1402, 260.005, 997.179, 325.649, 4340.016 
  394,   501, 242.071, 996.571, 331.069, 3147.832 
  395,   502, 242.071, 996.571, 331.069, 4947.441 
  396,   503, 242.071, 996.571, 331.069, 4947.441 
  397,   504, 242.071, 996.571, 331.069, 1957.736 
  398,   213, 223.965, 985.648, 333.671, 2908.106 
  399,   214, 223.965, 985.648, 333.671, 4965.979 
  400,   215, 223.965, 985.648, 333.671, 4219.430 
  401,   971, 233.958, 991.539, 338.108, 4040.350 
  402,   972, 233.958, 991.539, 338.108, 513.534 
  403,   973, 233.958, 991.539, 338.108, 1192.204 
  404,  1405, 204.812, 956.045, 341.539, 463.924 
  405,  1408, 204.812, 956.045, 341.539, 4462.639 
  406,  1034, 215.110, 967.147, 343.823, 2933.333 
  407,  2442, 210.510, 955.345, 331.229, 458.008 
  408,  2443, 210.510, 955.345, 331.229, 2919.190 
  409,  1397, 252.457, 997.516, 339.560, 379.879 
  410,  1398, 252.457, 997.516, 339.560, 1986.065 
  411,   326, 200.106, 955.564, 343.766, 1179.625 
  412,   327, 200.106, 955.564, 343.766, 1146.952 
  413,  1191, 267.987, 996.757, 335.672, 596.700 
  414,  1192, 267.987, 996.757, 335.672, 4833.406 
  415,  1193, 267.987, 996.757, 335.672, 4073.196 
  416,  1963, 235.898, 980.953, 324.209, 3194.289 
  417,  1964, 235.898, 980.953, 324.209, 5163.586 
  418,  1965, 235.898, 980.953, 324.209, 5163.586 
  419,  1966, 235.898, 980.953, 324.209, 3805.066 
  420,  2402, 228.545, 989.254, 327.374, 640.327 
  421,  2403, 228.545, 989.254, 327.374, 5128.160 
  422,  2404, 228.545, 989.254, 327.374, 2721.479 
  423,  1617, 238.566, 985.167, 321.929, 1623.304 
  424,  1618, 238.566, 985.167, 321.929, 4807.243 
  425,  1619, 238.566, 985.167, 321.929, 1286.485 
  426,  1023, 249.051, 981.014, 332.506, 1604.816 
  427,   217, 247.054, 984.753, 337.653, 2656.198 
  428,   218, 247.054, 984.753, 337.653, 1183.110 
  429,  1510, 241.149, 985.849, 341.213, 1922.721 
  430,  1511, 241.149, 985.849, 341.213, 2842.845 
  431,  1512, 241.149, 985.849, 341.213, 743.289 
  432,  1517, 241.149, 985.849, 341.213, 1919.801 
  433,  1297, 215.333, 969.434, 325.083, 1809.760 
  434,  1277, 247.355, 993.401, 340.646, 1493.392 
  435,  1278, 247.355, 993.401, 340.646, 99.277 
  436,  1279, 247.355, 993.401, 340.646, 819.983 
  437,  1307, 222.954, 966.601, 327.134, 4615.352 
  438,  1308, 222.954, 966.601, 327.134, 3092.103 
  439,   414, 221.362, 978.146, 326.140, 1226.076 
  440,  1937, 286.724, 1012.148, 324.145, 2258.924 
  441,  1938, 286.724, 1012.148, 324.145, 5122.346 
  442,  1939, 286.724, 1012.148, 324.145, 5122.346 
  443,  1940, 286.724, 1012.148, 324.145, 2083.950 
  444,   243, 297.875, 1048.015, 332.008, 3089.452 
  445,  1564, 281.409, 1006.848, 332.126, 3698.665 
  446,  1565, 281.409, 1006.848, 332.126, 2250.366 
  447,    66, 275.549, 1000.584, 334.877, 3749.486 
  448,    67, 275.549, 1000.584, 334.877, 5188.386 
  449,    68, 275.549, 1000.584, 334.877, 5188.386 
  450,    69, 275.549, 1000.584, 334.877, 2971.707 
  451,  2232, 251.986, 1002.101, 338.480, 1769.679 
  452,  2233, 251.986, 1002.101, 338.480, 2457.263 
  453,  2235, 251.986, 1002.101, 338.480, 2581.538 
  454,   390, 250.647, 1000.268, 321.434, 2192.937 
  455,  1366, 286.673, 1009.704, 332.946, 2317.795 
  456,  1367, 286.673, 1009.704, 332.946, 1192.687 
  457,  1241, 274.770, 1026.573, 335.903, 1613.733 
  458,  1242, 274.770, 1026.573, 335.903, 1192.730 
  459,  1243, 274.770, 1026.573, 335.903, 1543.743 
  460,  1547, 260.970, 1007.736, 322.272, 3254.972 
  461,  1548, 260.970, 1007.736, 322.272, 281.231 
  462,  2421, 255.751, 1002.892, 342.501, 766.386 
  463,  2422, 255.751, 1002.892, 342.501, 2171.207 
  464,  1225, 274.058, 1027.620, 327.865, 199.705 
  465,  2104, 277.993, 1022.480, 321.797, 5222.454 
  466,  2105, 277.993, 1022.480, 321.797, 283.381 
  467,  2355, 269.574, 1008.388, 324.087, 1886.448 
  468,  2356, 269.574, 1008.388, 324.087, 5080.325 
  469,  2357, 269.574, 1008.388, 324.087, 2387.706 
  470,  2361, 269.574, 1008.388, 324.087, 1349.874 
  471,  1506, 256.279, 1003.316, 324.978, 2722.532 
  472,  1507, 256.279, 1003.316, 324.978, 538.921 
  473,  1508, 256.279, 1003.316, 324.978, 1228.234 
  474,  1914, 265.839, 1006.179, 323.885, 1172.632 
  475,  1657, 279.355, 1029.624, 323.360, 1983.170 
  476,  2396, 292.221, 1044.290, 327.557, 538.390 
  477,  2407, 299.982, 1043.163, 333.972, 642.469 
  478,  2408, 299.982, 1043.163, 333.972, 1294.077 
  479,  2082, 289.942, 1036.986, 333.631, 166.438 
  480,  2083, 289.942, 1036.986, 333.631, 4343.090 
  481,  1368, 277.919, 1019.850, 340.264, 1055.435 
  482,   799, 246.131, 1004.027, 327.157, 2028.426 
  483,   803, 246.131, 1004.027, 327.157, 328.609 
  484,  1896, 279.816, 1032.179, 330.125, 936.152 
  485,  1897, 279.816, 1032.179, 330.125, 5098.342 
  486,  1898, 279.816, 1032.179, 330.125, 5098.342 
  487,  1899, 279.816, 1032.179, 330.125, 2470.017 
  488,  1901, 279.816, 1032.179, 330.125, 1182.213 
